Ques,Ans
   Tell me about yourself?," My name is Susan Klein and I am a Product Manager at Company XYZ. I have previously worked as an Assistant Product Manager at both Company ABC and Company DEF. I’ve done a Degree in Product Management.Out of my 8-year work experience, my greatest accomplishment has been to design, test and launch products in two foreign markets three months ahead of schedule and 25% under budget.I have made it my personal goal to take time to build solid long lasting business relationships with international suppliers, vendors and partners.I have even taught myself conversational foreign languages to break communication and trust barriers. I take pride in being able to negotiate production and distribution deals that save a lot of costs.I will bring the same expertise to your Company as a Product Director, in your quest to launch new product lines in international markets.  !@#@! I grew up in a small town in upstate New York most people have never heard of, but I know you’ll recognize it because I saw it listed as your hometown on your employee bio! What a small world. I graduated from ABC University one year ago, then moved here to be an executive assistant at XYZ Organization. It fit well with my passion for analytics and conceptualizing creative campaigns. Now, I’m looking for my next professional challenge, and believe I’ve found it at your company. !@#@!  Currently, I serve as the assistant to three of the company’s five executive team members including the CEO. During my time at the organisation, I have been recognised for my time management skills, writing abilities and commitment to excellence. !@#@!  I am a vigilant and proactive Security Officer working to ensure safe, secure and orderly environments. I’m also a lifelong learner always seeking out the latest security equipment and techniques to patrol buildings. Lastly, I am thorough in documenting all incidents and actively making suggestions to management about security improvements and changes.  !@#@!  Good morning afternoon evening  sir/mam. First of all, thank you for giving me this opportunity to introduce myself. My name is Ajeet Kumar. As far as my education qualification is concerned, I have done MBA with finance stream from Srivenkateswara university in Emerald's P. G. College, Tirupathi, in the year of 2014. I had completed B.tech from N.I.T Jaipur in 2012. I had completed my schooling from G.I.C. Allahabad. As far as concerned my family, I belong to a middle-class family. My father is a Businessman, and my Mother is a homemaker. My brother is preparing for civil services. I am good in programming languages C, C++, and Java and very much interested in HTML, CSS, ASP. Net and SQL. My strength is self-confidence, positive attitude, hard work. My weakness is: I can easily believe every one. My hobbies are: Watching news channels, Playing volleyball, Listening to music.  !@#@!  Good morning/afternoon/evening  sir/mam, it's my pleasure to introduce myself. I am Anshika Bansal. I belong to Meerut. I have done my B.Tech in CSE from Lovely Professional University. I am carrying 5 years of experience at top Wall Street Companies. In my recent company, I led the development of an award-winning new trading platform. I can survive in a fast-paced environment. Now I am looking for a chance to apply my technical expertize and my creative problem-solving skills at an innovative software company like yours. "
What is Data Science?,"Data Science is the area of study which involves extracting insights from vast amounts of data using various scientific methods, algorithms, and processes. It helps you to discover hidden patterns from the raw data. The term Data Science has emerged because of the evolution of mathematical statistics, data analysis, and big data. !@#@! An interdisciplinary field that constitutes various scientific processes, algorithms, tools, and machine learning techniques working to help find common patterns and gather sensible insights from the given raw input data using statistical and mathematical analysis is called Data Science.The following figure represents the life cycle of data science.It starts with gathering the business requirements and relevant data.Once the data is acquired, it is maintained by performing data cleaning, data warehousing, data staging, and data architecture.Data processing does the task of exploring the data, mining it, analyzing it which can be finally used to generate the summary of the insights extracted from the data.Once the exploratory steps are completed, the cleansed data is subjected to various algorithms like predictive analysis, regression, text mining, recognition patterns, etc depending on the requirements.In the final stage, the results are communicated to the business in a visually appealing manner. This is where the skill of data visualization, reporting, and different business intelligence tools come into the picture."
What is the Difference Between Data Science and Machine Learning?,"Data Science is a combination of algorithms, tools, and machine learning technique which helps you to find common hidden patterns from the given raw data. Whereas Machine learning is a branch of computer science, that deals with system programming to automatically learn and improve with experience."
Name three types of biases that can occur during sampling,"In the sampling process, there are three types of biases, which are:Selection bias,Under coverage bias,Survivorship bias !@#@! Selection bias Undercoverage bias Survivorship bias"
Discuss Decision Tree algorithm,"A decision tree is a popular supervised machine learning algorithm. It is mainly used for Regression and Classification. It allows breaks down a dataset into smaller subsets. The decision tree can able to handle both categorical and numerical data. !@#@! Take the entire data set as input Calculate entropy of the target variable, as well as the predictor attributes Calculate your information gain of all attributes (we gain information on sorting different objects from each other) Choose the attribute with the highest information gain as the root node Repeat the same procedure on every branch until the decision node of each branch is finalized"
What is Prior probability and likelihood?,Prior probability is the proportion of the dependent variable in the data set while the likelihood is the probability of classifying a given observant in the presence of some other variable.
Explain Recommender Systems?,"It is a subclass of information filtering techniques. It helps you to predict the preferences or ratings which users likely to give to a product. !@#@! A recommender system predicts what a user would rate a specific product based on their preferences. It can be split into two different areas: Collaborative Filtering As an example, Last.fm recommends tracks that other users with similar interests play often. This is also commonly seen on Amazon after making a purchase; customers may notice the following message accompanied by product recommendations: ""Users who bought this also boughtâ€¦"" Content-based Filtering As an example: Pandora uses the properties of a song to recommend music with similar properties. Here, we look at content, instead of looking at who else is listening to music. !@#@! Recommender systems are a subclass of information filtering systems that are meant to predict the preferences or ratings that a user would give to a product."
Name three disadvantages of using a linear model,Three disadvantages of the linear model are:The assumption of linearity of the errors. You canâ€™t use this model for binary or count outcomes There are plenty of overfitting problems that it canâ€™t solve !@#@! The assumption of linearity of the errors It can't be used for count outcomes or binary outcomes There are overfitting problems that it can't solve 
Why do you need to perform resampling?,"Resampling is done in below-given cases:Estimating the accuracy of sample statistics by drawing randomly with replacement from a set of the data point or using as subsets of accessible data Substituting labels on data points when performing necessary tests Validating models by using random subsets  !@#@! Resampling is a methodology used to sample data for improving accuracy and quantify the uncertainty of population parameters. It is done to ensure the model is good enough by training the model on different patterns of a dataset to ensure variations are handled. It is also done in the cases where models need to be validated using random subsets or when substituting labels on data points while performing tests. !@#@! Resampling is done in any of these cases: Estimating the accuracy of sample statistics by using subsets of accessible data, or drawing randomly with replacement from a set of data points Substituting labels on data points when performing significance tests Validating models by using random subsets (bootstrapping, cross-validation)"
List out the libraries in Python used for Data Analysis and Scientific Computations.,SciPy Pandas Matplotlib NumPy SciKit Seaborn
