Ques,Ans
   Tell me about yourself?," My name is Susan Klein and I am a Product Manager at Company XYZ. I have previously worked as an Assistant Product Manager at both Company ABC and Company DEF. I’ve done a Degree in Product Management.Out of my 8-year work experience, my greatest accomplishment has been to design, test and launch products in two foreign markets three months ahead of schedule and 25% under budget.I have made it my personal goal to take time to build solid long lasting business relationships with international suppliers, vendors and partners.I have even taught myself conversational foreign languages to break communication and trust barriers. I take pride in being able to negotiate production and distribution deals that save a lot of costs.I will bring the same expertise to your Company as a Product Director, in your quest to launch new product lines in international markets.  !@#@! I grew up in a small town in upstate New York most people have never heard of, but I know you’ll recognize it because I saw it listed as your hometown on your employee bio! What a small world. I graduated from ABC University one year ago, then moved here to be an executive assistant at XYZ Organization. It fit well with my passion for analytics and conceptualizing creative campaigns. Now, I’m looking for my next professional challenge, and believe I’ve found it at your company. !@#@!  Currently, I serve as the assistant to three of the company’s five executive team members including the CEO. During my time at the organisation, I have been recognised for my time management skills, writing abilities and commitment to excellence. !@#@!  I am a vigilant and proactive Security Officer working to ensure safe, secure and orderly environments. I’m also a lifelong learner always seeking out the latest security equipment and techniques to patrol buildings. Lastly, I am thorough in documenting all incidents and actively making suggestions to management about security improvements and changes.  !@#@!  Good morning afternoon evening  sir/mam. First of all, thank you for giving me this opportunity to introduce myself. My name is Ajeet Kumar. As far as my education qualification is concerned, I have done MBA with finance stream from Srivenkateswara university in Emerald's P. G. College, Tirupathi, in the year of 2014. I had completed B.tech from N.I.T Jaipur in 2012. I had completed my schooling from G.I.C. Allahabad. As far as concerned my family, I belong to a middle-class family. My father is a Businessman, and my Mother is a homemaker. My brother is preparing for civil services. I am good in programming languages C, C++, and Java and very much interested in HTML, CSS, ASP. Net and SQL. My strength is self-confidence, positive attitude, hard work. My weakness is: I can easily believe every one. My hobbies are: Watching news channels, Playing volleyball, Listening to music.  !@#@!  Good morning/afternoon/evening  sir/mam, it's my pleasure to introduce myself. I am Anshika Bansal. I belong to Meerut. I have done my B.Tech in CSE from Lovely Professional University. I am carrying 5 years of experience at top Wall Street Companies. In my recent company, I led the development of an award-winning new trading platform. I can survive in a fast-paced environment. Now I am looking for a chance to apply my technical expertize and my creative problem-solving skills at an innovative software company like yours. "
   What are your major skills?," My major skills are in the area of prototype designing for racing cars. I am an expert in designing and supervising the creation of real life molds for racing cars.Two years ago I headed the design project for a custom made, aerodynamic, twin turbo race car that went on to win the world championship Series XYZ race. "
   Why should we hire you?," I have always loved the world of fashion and your company is one of the most respected fashion houses in the country.I started my career as an Accountant then went back to school part-time to study Fashion Design. Four years later I made a career switch starting out at the very bottom of the fashion career ladder.Through my hard work, efforts and tenacity I have risen through the ranks in a relatively short period and I now support the digital content department for a leading fashion magazine.I have come up with concepts that have helped us reach previously ignored customer groups hence increasing subscriptions and revenues.I have even written fashion articles during my free time that have been featured in upcoming fashion blogs and magazines.I am known for working tirelessly to meet editorial deadlines and ensure that I am supporting my colleagues appropriately. I will bring the same indefatigable spirit to your company as an Editorial Manager.  !@#@! ABC Company is revered in the advertising world for its commitment to creativity. Since before I can remember, I’ve prided myself on being a creative person myself. In college, I was in charge of event planning for my sorority and coordinated over a dozen distinct, themed events last year. In a typical year, the sorority does five events. I’m excited to think how my creativity and ambition could enhance what’s already great here. !@#@!  I have a passion for application development that’s grown stronger over the course of my five-year career. The company’s mission aligns with my personal values and from my limited time in the office, I can already tell this is the sort of positive culture in which I would thrive. I want to work for a company that has the potential to reshape the industry and I believe you’re doing just that.  !@#@!  I believe that everyone starts with a beginning, I need a platform to prove my abilities and skills. I think your company is the right place to explore my abilities. I need to be a part of your growth. I will do my level best.  !@#@!  As a fresher, I need a platform to prove my ability. If I will be a part of your company, I'll put my effort and strength to uplift your company. None is born with experience, and if you hire me, I will get professional experience through your company.  !@#@!  Sir, as I am a fresher, I have theoretical knowledge, but I need a platform where I can implement my knowledge in the practical field. I am ensuring you that I will put all my efforts for the good progress of the organization. As a fresher, I have no preset mind regarding work culture in an organization, and this will help me to adapt the working culture of your company very easily. Being punctual and regular, I can finish the work giving to me on time and try my best to fulfill all the needs of the company.  !@#@!  I have a good experience in that particular field (field of your specialization), and I think my talents will be a big contribution to the continuing pursuit of excellence of your company. "
   What are your major strengths?," I am organized, dependable and responsive.As an Executive Assistant to three very busy Vice Presidents, each of my work days is different and more challenging than the previous one.I ensure that all the VP’s calendars and appointments are properly booked, prepare draft presentations and reports on technical information, write and circulate accurate minutes in a timely manner and make local and international travel arrangements.I even stay up late at night to put out fires across different time zones when a VP is stranded in a foreign country that is 12 hours ahead of us or has last minute schedule adjustments.My supervisors have come to trust and depend on me for all their administrative needs and I have received numerous accolades from them over the past few years.They have made it known across the company about how satisfied and happy they are with my work. I am eager to bring this same level of passion and results to this position.  !@#@! I believe one of my greatest strengths is time management. For example, last semester I managed to earn a 3.8 GPA while working 20 hours a week at a local coffee shop, serving as president of my fraternity, and acting as a teaching assistant for a freshman writing course. I’m also very organized and detail-oriented. !@#@!  I’m a natural problem solver. I find it rewarding to dig deep and uncover solutions to challenges. It’s like solving a puzzle. It’s something I’ve always excelled at and something I enjoy. Much of product development is about finding innovative solutions to challenging issues, which is what drew me to this career path in the first place.  !@#@!  My main strengths are the ability to use my initiative to take on challenges. I am always proactive at what I do, and that keeps my mind stimulated and focused.  !@#@!  My greatest strengths would be my intelligence and thoughtfulness. I believe that in every work environment you need to process every step and be detailed in your work.   !@#@!  My time management skills are excellent, and I'm organized, efficient, and take pride in excelling at my work.  !@#@!  I always understand the value of time, and I am always able to innovate. I listen to advice from others.   !@#@!  My greatest strength is my ability to focus on my work. I'm not easily distracted, and this means that my performance is very high.  !@#@!  My biggest strength is my Confidence. Apart from that, I am Hardworking, self-motivated with a positive attitude towards my career and my life. If I have a problem, then I think its an opportunity for me to express my ability.  "
   What are your major weaknesses?," One of my weaknesses is being too quiet and socially shy. My supervisor even pointed this out as an area for improvement during one of my past performance reviews.She mentioned that it was very important for me to network and form strong social bonds with staff from other departments and I was challenged to attend more company-wide activities and proactively interact with others.Although it has not been a matter of flipping a switch and making an instant transformation from being quiet to an extrovert, I have been taking baby steps and putting myself out there, interacting more with others, striking up conversations, participating in company activities, volunteering in events such as organizing staff baby showers and planning birthday celebrations.As a result of these efforts colleagues from other departments are gradually warming up to me and I have even been invited to participate in a few highly visible cross-departmental projects.  !@#@! I’m an organized person, so I have trouble with last-minute changes and ambiguity. In school, I scheduled out all my work, but in an office environment, deadlines and priorities are always shifting. So, I’m working to get more accustomed to those changes. I’m taking an online class in project management, and it’s helped me make room for changing priorities. Now, if a last-minute change crops up, I know how to reprioritize. !@#@!  I sometimes have trouble saying ‘no’ and end up overwhelmed by my workload. Earlier in my career, I would take on so many projects that I’d work evenings and weekends. It was stressful. I realised this was counterproductive so I started using workload management tools and setting better expectations for myself and my teammates.  !@#@!  You can say,  I used to be very disorganized, always forgetting assignments and birthdays. But I managed to work out a computerized system of to-do lists and reminders that keep me on top of everything.  !@#@!  I am a straightforward person, and I cannot say no when someone asks me for help. "
   What are your major accomplishments?," One of my greatest and proudest accomplishments is successfully planning and executing two major events within one month of starting a new job.This happened three years ago when I was hired as an Events Coordinator at Company XYZ.During my first week on the job my boss informed me that we should plan for two high profile events which were to be held back-to-back, one day apart, within a month’s time.The meetings were to be held at two separate venues 60 miles apart.The following few weeks were a frenzy of activity. I was a new employee trying to figure out the telephone codes and at the same time calling and inviting key business leaders to attend one of our events.On the other hand I was booking hotel venues, securing accommodation for participants, discussing menu preferences, making transport arrangements, preparing name tags, preparing and printing meeting materials, and assembling printouts and meeting materials into binders for two separate events simultaneously.In addition, I was handling requests from the meeting facilitators, following up with participants who had not RSVP’d and also regularly updating my boss on how everything was coming along.It was a whirlwind of activity within a short time frame and I was doing all this alone with expert guidance from my boss.The two events went off successfully with over 100 participants attending. Although I was exhausted at the end of it all, I felt very happy about the accomplishment. "
   What are your educational qualifications?," I have a Bachelor’s Degree in Journalism from XYZ University and I graduated five years ago.I decided to do journalism because since I was a kid I was fascinated by news reporters on Television.I wanted to be either a newscaster or a news reporter. In college I was also fortunate enough to learn fluent French so now I can not only report news in English but also in French.During my senior year I did an internship at a local TV station where I shadowed a news reporter for three months.It was a very intense and exciting experience especially during times when she was covering breaking news.I got the chance to ask the reporter many questions about her work experience, tips for success, words of wisdom, how to speak off the cuff confidently and also got a chance to practice talking in front of the camera.This experience solidified my resolve to pursue a career as a news reporter. "
   Why are you leaving your current job?," After four years in my current position, I feel that it is the right time for me to progress in my career. I am seeking more challenge and growth.I am proud of what I have been able to accomplish in my current role specifically adding new high net-worth customer accounts and supporting the rolling out of a new customer management system.I have grown as a professional and learnt new skills that will help me going forward.I have also solidified my analytical and negotiating skills and I’m able to handle a larger volume of customer accounts.I believe that this new position is a good fit for me and I look forward to this company being the new home for my skills and expertise.  !@#@!  I’m looking for an opportunity that gives me the ability to build closer, long-term relationships with clients. In my current role, the sales cycle is so short that I don’t spend as much time building a rapport with my customers as I’d like. Relationship-building is one of the reasons I chose a career in sales and I look forward to working with a company in which that’s a top priority.  !@#@!  Sir, it's a career move. I have learned a lot from my last job, but now I am looking for new challenges to broaden my horizons and to gain a new skill-set. "
"   Where do you see yourself in the future – in 5 years, 10 years etc?"," I see myself growing and advancing in my career over the next few years.I envision performing at a higher level to meet and even exceed my performance goals.I envision performing my job at a progressively higher level with more responsibilities.  !@#@! In five years, I see myself here at XYZ Company, contributing to the team and adding value for the branch. I love that you offer so many opportunities for professional development, and I want to grow with the company. So, I plan to master my role as an assistant in the next few years, and hopefully become an associate after that. !@#@!  In five years, I’d like to be an industry expert in my field with the ability to train and mentor students and entry-level designers. I would also like to gain specialised knowledge in user experience to be a well-rounded contributor working with design and marketing teams on large scale projects that make a difference in the company and to the global community. "
  What are you looking for in a job?," I like a job where I have the freedom to be creative and perform my work with little or minimum supervision.I thrive in work environments where teams are highly collaborative and enjoy the brainstorming process to put forth ideas, distill them and refine them further to come up with greater and stronger concepts.This is why I am attracted to this job and this company because it has a history and strong company values that support employee creativity and collaboration.  !@#@! I’m an experienced writer, who loves what she does. And I’m looking for an opportunity to utilize my strong writing and editing skills to craft compelling messages. I was especially drawn to the cross-industry clients you support, as it will allow me to flex my writing muscles and work on a diversity of projects at once. I know it will be busy, but I also know it will be exciting. !@#@!  I’ve been passionate about user experience design for most of my professional career. I was excited to see this company uses Adobe products because I’m well versed in the entire suite. Also, I’m a huge advocate for applying agile workflows to design. I think it’s the most effective way to tackle large projects. I was able to successfully build and launch an agile process in my previous role as UX manager and we saw considerable improvements in project speed. "
  What are your hobbies or interests outside work?," My top hobbies are jogging and cooking.I enjoy talking long jogs in the evening at least three times a week.I like breathing in the cool evening air and watching the different color glows as the sun sets.Jogging calms and relaxes me and gets me ready to face a new day full of energy.I also enjoy cooking. I especially relish the challenge of learning a new recipe and trying it out.It usually takes a couple of tries before I perfect a recipe and it is such a gratifying feeling once the meal comes together perfectly.I can sit back with the satisfaction of knowing that I now have one more recipe up my sleeve.  !@#@! One of my favorite hobbies is running. I try to run every day and run about ten 5Ks a year. It helps me relax and get outside of my head. I especially love running to raise money for causes I’m passionate about, like the Humane Society. I have two rescue dogs, who are really fun, so I love spending time with them, too. !@#@!  My hobbies are dancing, Internet surfing, playing Chess, listening to music, watching the news channel. In my spare time, I like to read news on my phone and traveling to my hometown. Thank you for giving this opportunity to introduce myself. "
  What experience do you have for this position?," I have worked as a Cashier for four years at a local supermarket with high customer traffic.I quickly learnt how to use a point of sale system and efficiently run a cash register.I handled a high volume of both cash and credit card transactions.I encouraged customers to enroll for customer loyalty cards to get more savings.I addressed customer inquiries, resolved complaints and referred complex cases to my manager.I processed customer returns, helped in arranging store inventory, ensured cleanliness of displays, built friendly relationships with customers and pitched in during busy holiday shopping periods.Over the years I built a reputation for having one of the fastest checkout lines.Regular customers almost always came to my checkout line because it was among the fastest moving lines.  !@#@! Yes, I do have prior experience in the research field. In college, I spent eight semesters interning in ABC Lab. While I was there, I co-authored two papers that ended up getting published."
  What did you like most about your last job?," In my previous job as a Website Designer, I enjoyed the challenge of creatively transforming a client’s idea into a fully functioning website.I liked the opportunity to sit down with a client, listen to their ideas and requirements then design a website mock-up within a day or two.It was insightful going back and forth with the client tweaking the mock-up until both of us were on the same page.After that, I enjoyed the autonomy of designing the website and giving the client fully functioning drafts ahead of schedule "
  What didn’t you like about your last job?," When I started working in my last job six years ago, I was excited about the role and the potential it offered.As I worked over the years, my confidence, work output and experience increased.I even got a promotion but now I have reached a point where there are no more opportunities for advancement in my company in the foreseeable future.That is why I am interested in this new role which offers the opportunity to advance and stretch my skills and capabilities. "
  Discuss your resume," My most current role that relates to the Information Systems Manager position was working as a Technical Assistant at company XYZ where I was involved in training users, repairing computer hardware and installing software.I held a 95% percent customer satisfaction rating for two years for promptly responding and supporting 60 users.Prior to that I had worked as an Intern for three months at a local manufacturing plant where I supported two Information Technology Managers in troubleshooting and fixing office equipment.I have a Degree in Information Technology and my key areas of expertise are network security and computer troubleshooting. "
  Explain a gap in your employment?, I was out of work for 6 months last year to pursue an intensive Creative Design certification course.I realized that I needed to invest in this training and knowledge to stay up to date with state of the art technology changes in the design field and to position myself for future high level and high impact positions in my field.I look forward to test-driving my new skills in this position. 
  What is your greatest career achievement?," I am most proud of creating a user friendly, easy to use, multi-year budget template.When I started my last job as a Budgets Manager, one of the major challenges was a lack of a consistent budget format, budget template and an easy to understand template.The existing budget template was so complicated that over time different departments had started to creatively use their own versions of budgets leading to inconsistency throughout the organization during budgeting period.I reviewed all the different formats, talked to key users about their preferences and created from scratch a simple budget template that could not only be used for annual budgeting but could also be used for five year budget forecasts.I rolled out the template to all offices and trained staff on how to use it.Within two years the whole company was using one standard budget template which saved so much time for all managers and the accounting department during the annual budgeting season. "
  What additional training have you done to improve yourself?," Every year I have attended at least one seminar to improve my skills in Customer Service.So far I have attended courses on improving my telephone skills, effective and empathetic listening skills and how to deal with angry customers.In addition, I read at least one book every quarter related to Customer Satisfaction.Every once in a while I also watch online videos on good communication skills and how to solve customer problems.These trainings have helped me to be more confident and empathic in handling customer requests.Furthermore, I have reduced my average length of call time with customers while at the same time achieving higher ratings on customer satisfaction. "
  Which of your former jobs did you like most and why?," The job that I liked the most was working as a long distance/interstate Truck Driver at company XYZ for three years.I enjoyed the freedom to work independently. Once I had my pick-up and delivery schedules, my supervisors trusted me to meet delivery times with regularity.I enjoyed the freedom of driving on the open highways and also liked meeting new people – customers, suppliers, vendors and other truck drivers.Most of all was the satisfaction of knowing that I played a key part in transporting essential everyday commodities manufacturers and distributors to the consumers. "
  Which of your former bosses did you like most and why?," Out of all my former bosses, my most favorite one was a Principal at a High School.I used to work as a History teacher and what I liked most about the Principal was her ability to give good directions.She also had a big vision for both the students and the teachers and was willing to make time to regularly meet all teachers and brainstorm ways to improve learning and achievement in the school.Her leadership was very inspiring, collaborative and at the same time held everyone accountable for achieving high results. "
  Give an example of your leadership skills?," When I was working as a Receptionist at Company XYZ, I noticed that one of the challenges that staff used to have was overspending on the allocated budget for working lunch as well as the amount of time wasted as staff agonized over ordering group meals.There were many working lunch meetings during the year in that company.I took it upon myself to visit all the restaurants that were near the office and requested for copies of their menus.I also talked to the Restaurant Managers about priority delivery options and requested for a specific contact person who we could call on short notice to ensure that our food order was prepared and delivered quickly.I also negotiated discounts for repeat large orders throughout the year.I then compiled a spreadsheet that showed all the different restaurants in the neighborhood, contact persons, telephone numbers, food prices, discounts offered and different menu items, photos of the meals as well as estimated delivery times based on when the orders were placed.I uploaded this detailed and searchable spreadsheet on the company’s intranet and sent an email to all staff about it.I also organized a meeting and walked everyone through the spreadsheet and answered questions from staff.All staff had to do was to simply send me in advance the meeting date, time, conference room, number of participants and choice of food and I would place the order.This process helped in planning, saving costs and saving time and my colleagues were very happy to use the resource.After implementing this new system for one year, only 80% of the allocated working lunch budget was spent compared to the previous years where an average of 120% of the budget was spent. "
  What is your management style?," My management style is collaborative. I like to include my team, colleagues and boss in planning and brainstorming meetings to solicit their input, ideas and suggestions.Once everyone’s input has been sought, I am comfortable making a decision and assigning tasks and milestones to team members.I follow-up my team’s progress through regular check in meetings to ensure that everything is progressing well according to schedule.I encourage my team to let me know in advance about significant potential problems and challenges so that we can iron them out in good time.I also offer regular feedback and genuine praise and recognition to team members to encourage them to maintain and even exceed their high performance standards. "
  How did you learn about this position?, I was excited to read this position on the career section of your website last month.The position requirements were a good fit for my skills and three years’ experience in data entry.I look forward to contributing my talents to this company as a Data Entry Specialist. 
  Why are you applying for this job?," A few months ago I had read a press release about the launch of your startup company and your mission was very compelling.I was excited to see this job advertised on an online job board.My solid experience in graphic design will be a key asset in helping your company create transformative digital products.I have been working in the graphic design field for seven years and have designed numerous products including reports, proposals, brochures and marketing campaign materials.This job as a Senior Graphic Designer is a good fit for the next step in my career growth and I look forward to bring to this role modern design concepts, my creativity and attention to details.  !@#@! One of the main reasons I want to work here is your company’s commitment to the community. It really sets you apart from your competitors. I love that you all volunteer at the Special Olympics each spring. I’ve volunteered with the local animal shelter every week for the past four years. Being a part of a company that also values giving back to others is really important to me. !@#@!  The company’s mission to help college graduates pay off their student loan debt speaks to me. I’ve been in that situation and I’d love the opportunity to work with a company that’s making a difference. Finding a company with a positive work environment and values that align with my own has remained a priority throughout my job search and this company ranks at the top of the list.  !@#@!  I have applied for this vacancy because it is an excellent match for my skills and experience. This role is exactly the sort of role I am currently targeting, and I am confident I will be able to make a major contribution.  !@#@!  Sir, it's a great privilege to work in a reputed company like yours. When I read about your requirement, I found that my skills are matching with them. Through this role, I can show my technical skills to contribute to the company growth. "
  What is your understanding of this position?," The Office Manager position will be primarily responsible for overseeing front desk operations, purchasing of office supplies and maintaining inventory, managing office maintenance and repairs and planning office events.I have worked as an Office Coordinator for four years at two different companies.I directly managed the front desk, planned office holiday events and coordinated the maintenance schedule and smooth running of office equipment for an office with 50 staff.I have experience working in a fast paced office environment while maintaining a pleasant demeanor and offering high level of customer service to both internal and external stakeholders.I am excited to bring my strong work ethic, enthusiasm and experience to this position. "
  What new ideas would you bring to this position in your first 90 days?," During the first 90 days one of the key things I would do is to immediately schedule a meeting with my immediate supervisor to learn their expectations and priorities for this role.Based on my past experience, the three key ideas that I would bring to this position as a Fundraising Manager are:a.) Developing a fundraising plan: to identify strategies and events to reach out to corporate donors, foundations and individuals.b.) Instituting quality control checks: I would create a two layer quality control system to ensure that all proposals have been reviewed and vetted by a third party to ensure that high quality, top-notch proposals are submitted to donors.c.) Implementing ongoing training for team-members: there are numerous low cost and free training resources on proposal writing that staff members can utilize to keep their skills up to date. "
What is your greatest fear?," Before some time, public speaking has been a challenge for me. I was very nervous and hesitate while giving any presentation, so I started taking public speaking seminars to improve it. Now, I still get nervous before pitches, but I have learned how to remain calm and get the job done right.  !@#@!  As you know that I have never worked in my life and this is my first job, my inexperience is my weakness. But I beg to differ. I am confident and a fast learner. I assure you that I will perform my job without carrying any pre-conceived notions regarding how I feel. "
Would you like to relocate or travel for the company?," I have not relocated in the past for any job however, I feel very strongly about this position.It aligns well with my career growth trajectory and I really admire this company. It is well respected and has a solid reputation.I would consider relocating for this specific job.  !@#@!  I am willing to travel as part of my role to ensure that I succeed in this position.I am conversant and very comfortable with traveling.In my previous position as a Regional Sales Manager, I had an intensive international travel schedule of about 60% of my job.I regularly traveled to international countries to meet clients and make sales presentations and solicit orders.  !@#@!   I will definitely consider traveling if the opportunity is appropriate, rewarding and feasible. I don't think that I will have any problem with the traveling involved.  !@#@!  Yes, as part of growing up. I used to travel a lot as my father is an ex-serviceman hence occasionally he used to be posted throughout the country. Though I would prefer my city as it is my birthplace and all my friends and relatives are there, but at the same time, I am ok with relocating. "
  Why do you want to work for this company?," Having worked as a Licensed Practical Nurse (LPN) for four years and having recently completed my Degree in Nursing, I look forward to joining your hospital as a Registered Nurse (RN).My colleagues in my professional network are constantly talking about how great your institution is.I have heard about the high standards of patient care in your facility, extensive training programs and the mentorship program that is in place to help new nurses succeed.I have a strong record of working collaboratively with patient care teams and monitoring patients’ progress.I am excited to bring my nursing skills to a noble organization such as yours and work together to provide high quality, compassionate care to patients. "
  What do you know about our company?," From researching about your company, I found out that it not only had a regional presence but also was on the verge of venturing into the international market.I admire the company’s mission of providing xyz to xyz. The staff testimonials also portray this as a fun, collaborative and energetic environment.I look forward to joining and thriving in this work environment and utilizing my skills, educational background and statistical experience in the Program Analyst position.  !@#@!  We all know that it is one of the fastest growing infrastructure company in India. The facilities provided to the employee is best. People feel proud to be the part of your company as the company provides full support to their employees in professional front. The working environment of this company is decent. It has crossed the branches in the world also. And I was in search of this type of company.  !@#@!  We all know that this company is India's no.1 company for development. I was delighted to see on your company website that your employees are talking about how great it is to work for your company. Now these days, so many people seem to hate the company where they work for one reason or another. It's great to see that your employees are proud to talk about how much they love their company and jobs. "
  Who are our competitors?," This company works in the Research Survey industry and you provide customer satisfaction surveys through direct mail, telephone surveys and online.The direct competition includes Company X, Company Y and Company Z.Company Y is the largest in this space having been in existence for 70 years.Company X and Z whilst providing customer satisfaction surveys also provide many other types of surveys such as employee satisfaction and economic surveys.Your company has carved out a niche by exclusively focusing on customer satisfaction surveys for the hotel industry.In addition, your company stands out by having a strong record of customer service, a trustworthy brand and it is staffed with a knowledgeable winning team with a history of treating customers like family. "
  What is your typical workday routine?," I like to begin my day by preparing a to-do list. I then review the list and identify the priority items that need to be addressed.I also check my email and voicemail and respond to emails and return calls.I attend scheduled meetings, collaborate with team members and work on assigned tasks during the day.I usually meet with my supervisor once a week for a check-in meeting but also keep her regularly updated and copied on important emails.At the end of the day just before heading off, I look at my to-do list to see the items I completed and any pending items.I also add new tasks, deadlines and priorities that arose in the course of the day so that I can handle them the following day. "
