Ques,Ans,,
   Tell me about yourself?," My name is Susan Klein and I am a Product Manager at Company XYZ. I have previously worked as an Assistant Product Manager at both Company ABC and Company DEF. I’ve done a Degree in Product Management.Out of my 8-year work experience, my greatest accomplishment has been to design, test and launch products in two foreign markets three months ahead of schedule and 25% under budget.I have made it my personal goal to take time to build solid long lasting business relationships with international suppliers, vendors and partners.I have even taught myself conversational foreign languages to break communication and trust barriers. I take pride in being able to negotiate production and distribution deals that save a lot of costs.I will bring the same expertise to your Company as a Product Director, in your quest to launch new product lines in international markets.  !@#@! I grew up in a small town in upstate New York most people have never heard of, but I know you’ll recognize it because I saw it listed as your hometown on your employee bio! What a small world. I graduated from ABC University one year ago, then moved here to be an executive assistant at XYZ Organization. It fit well with my passion for analytics and conceptualizing creative campaigns. Now, I’m looking for my next professional challenge, and believe I’ve found it at your company. !@#@!  Currently, I serve as the assistant to three of the company’s five executive team members including the CEO. During my time at the organisation, I have been recognised for my time management skills, writing abilities and commitment to excellence. !@#@!  I am a vigilant and proactive Security Officer working to ensure safe, secure and orderly environments. I’m also a lifelong learner always seeking out the latest security equipment and techniques to patrol buildings. Lastly, I am thorough in documenting all incidents and actively making suggestions to management about security improvements and changes.  !@#@!  Good morning afternoon evening  sir/mam. First of all, thank you for giving me this opportunity to introduce myself. My name is Ajeet Kumar. As far as my education qualification is concerned, I have done MBA with finance stream from Srivenkateswara university in Emerald's P. G. College, Tirupathi, in the year of 2014. I had completed B.tech from N.I.T Jaipur in 2012. I had completed my schooling from G.I.C. Allahabad. As far as concerned my family, I belong to a middle-class family. My father is a Businessman, and my Mother is a homemaker. My brother is preparing for civil services. I am good in programming languages C, C++, and Java and very much interested in HTML, CSS, ASP. Net and SQL. My strength is self-confidence, positive attitude, hard work. My weakness is: I can easily believe every one. My hobbies are: Watching news channels, Playing volleyball, Listening to music.  !@#@!  Good morning/afternoon/evening  sir/mam, it's my pleasure to introduce myself. I am Anshika Bansal. I belong to Meerut. I have done my B.Tech in CSE from Lovely Professional University. I am carrying 5 years of experience at top Wall Street Companies. In my recent company, I led the development of an award-winning new trading platform. I can survive in a fast-paced environment. Now I am looking for a chance to apply my technical expertize and my creative problem-solving skills at an innovative software company like yours. ",,
What is Software Engineering?,"Software engineering is defined as the function of the systematic, disciplined, quantified approach to the development, operations, and maintenance of software.",,
What are the elements to be considered in the System Model Construction?,Elements to be considered in the System Model Construction are:Assumption Simplification Limitation Constraints Preferences,,
What does a System Engineering Model accomplish?,System Engineering Model accomplishes the following: Define Processes that serve needs of view Represent behavior of process and assumption Explicitly define Exogenous and Endogenous Input It represents all Linkages that enable an engineer to understand aspect better.,,
Define Framework.,A framework is the Code Skeleton that can be fleshed out with particular classes or functionality and designed to address the specific problem at hand.,,
What are the characteristics of the software?,"Characteristics of the software are: Software is engineered, not manufactured.Software does not wear out. Most software is custom-built rather than being assembled from components.",,
What are the various categories of software?,The various categories of software are: System software Application. Software Engineering / Scientific. Software Embedded software. Web Applications. Artificial Intelligence software.,,
What are the challenges in software?,The challenges in the software are: Copying with legacy systems. Heterogeneity challenge. Delivery times challenge.,,
Define Software process.,A software process is defined as the structured set of activities that are required to develop the software system.,,
What are the internal milestones?,They are the significant and quantifiable attributes of progress. They are the standard methods in the project which provide that we are on the right track. They are under the authority of the project manager.,,
 What is the limitation of RAD Model?,"Limitation of RAD Model are: It requires a sufficient number of Human Resources to create enough number of teams. Developers and Users are not committed,the system fails. It is not Properly Modularized building component may be Problematic. It is not applicable when there is more possibility for Technical Risk.",,
 What are the disadvantages of classic life cycle model?,Disadvantages of the classic life cycle model are:Real projects rarely follow the sequential flow. Iteration always occurs and creates a problem.Challenging for the customer to state all requirements.The working version of the program is not available. So the customer must have patience.,,
 What are the merits of the incremental model?,"The merits of the incremental model are:The incremental model can be accepted when there is less number of people include in the project.Technical risks can be handle with each increment.For a minimal period, at least the core product can be delivered to the user.",,
